id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop|indie pop|electronic,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi|hip-hop|indie,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock|alt rock|indie rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi|ambient|folk,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop|electronic|edm,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient|electronic|indie,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz|soul|folk,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave|electronic|indie pop,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi|hip-hop|ambient,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop|pop|indie,happy,0.76,124,0.81,0.82,0.35
11,Desert Highway,Cactus Wire,country|folk|soft rock,nostalgic,0.55,96,0.63,0.52,0.74
12,Bass Cathedral,DJ Pryzm,electronic|edm|house,energetic,0.95,140,0.70,0.91,0.03
13,Velvet Curtain,Lila Moon,r&b|soul|pop,romantic,0.48,88,0.75,0.68,0.45
14,Iron Anthem,Shred Protocol,metal|rock|punk,aggressive,0.97,168,0.32,0.44,0.08
15,Bossa Nova Sunset,Rio Keys,bossa nova|jazz|latin,relaxed,0.33,105,0.78,0.61,0.83
16,Pixel Dreams,Chiptune Kid,chiptune|electronic|indie pop,playful,0.72,145,0.80,0.85,0.02
17,Rainy Balcony,Hana Mist,folk|indie|alt pop,melancholy,0.30,68,0.40,0.38,0.91
18,Club Mirage,Neon Echo,house|electronic|edm,energetic,0.88,128,0.72,0.90,0.07
19,Sold Out Dates (feat. Lil Baby),Gunna; Lil Baby,hip-hop|rap|trap,confident,0.78,120,0.65,0.82,0.12
20,Goodness Gracious,BABY GRAVY; Yung Gravy; bbno$,rap|pop rap|hip-hop,playful,0.74,118,0.72,0.86,0.10
21,Lalala,Y2K; bbno$,pop rap|rap|hip-hop,quirky,0.70,130,0.75,0.88,0.08
22,Alors On Danse,Stromae; Kanye West,electronic|hip-hop|french,moody,0.68,120,0.45,0.80,0.15
23,antidepressants,bbno$,rap|pop rap|hip-hop,playful,0.72,122,0.70,0.85,0.10
24,C'est La Vie,Yung Gravy; bbno$; Rich Brian,rap|pop rap|hip-hop,lighthearted,0.73,119,0.76,0.84,0.11
25,Stay,The Hails,indie|indie pop|soft rock,chill,0.55,100,0.60,0.68,0.35
26,Come a Little Closer,Cage The Elephant,indie rock|rock|indie,groovy,0.80,135,0.70,0.74,0.20
27,Kilby Girl,The Backseat Lovers,indie|indie rock|folk,nostalgic,0.65,115,0.68,0.70,0.30
28,Apollo!,EGOVERT,rap|hip-hop|trap,energetic,0.85,140,0.60,0.78,0.10
29,LA CAPI,Myke Towers,latin trap|reggaeton|spanish,confident,0.82,95,0.72,0.88,0.09
30,NOW OR NEVER,Tkandz; CXSPER,phonk|trap|hip-hop,dark,0.88,150,0.40,0.75,0.05
31,This Love,Maroon 5,pop|soft rock|indie pop,romantic,0.70,95,0.80,0.75,0.20
32,Basket Case,Green Day,punk|rock|alt rock,angsty,0.92,176,0.65,0.70,0.05
33,Bunny Girl,1nonly; Ciscaux,rap|hip-hop|trap,dark,0.80,140,0.45,0.78,0.08
34,Costa Rica Remix,Bankrol Hayden; The Kid LAROI,rap|hip-hop|pop rap,chill,0.68,120,0.70,0.82,0.12
35,Suge,DaBaby,rap|hip-hop|trap,confident,0.86,150,0.60,0.84,0.07
36,Lemonade,Internet Money; Gunna; Don Toliver; NAV,hip-hop|rap|trap,chill,0.65,140,0.72,0.83,0.10
37,Martin & Gina,Polo G,rap|hip-hop|rnb,reflective,0.60,110,0.55,0.75,0.20
38,Out Of Love,Lil Tecca; Internet Money,rap|hip-hop|rnb,sad,0.62,120,0.40,0.78,0.18
39,Don't Speak,Culture Wars,alt rock|rock|indie rock,emotional,0.72,110,0.50,0.68,0.25
40,Love Me Again,V,pop|r&b|soul,smooth,0.58,95,0.65,0.70,0.30
41,Island In The Sun,Weezer,alt rock|rock|indie,happy,0.65,117,0.85,0.72,0.25
42,Here Without You,3 Doors Down,rock|alt rock|soft rock,sad,0.55,144,0.40,0.55,0.35
43,POP DAT THANG,DaBaby,rap|hip-hop|trap,party,0.88,145,0.70,0.85,0.06
44,夜に駆ける,YOASOBI,j-pop|pop|japanese,emotional,0.78,130,0.55,0.80,0.20
45,I'll Do It Sped Up,Heidi Montag,pop|electronic|edm,energetic,0.90,160,0.75,0.88,0.05
46,Love Potions Slowed,BJ Lips; princess paparazzi,lofi|hip-hop|rnb,chill,0.40,70,0.60,0.65,0.75
47,一路生花,温奕心,mandopop|pop|mandarin,inspiring,0.55,90,0.70,0.60,0.40
48,半點心,Grasshopper,cantopop|pop|cantonese,nostalgic,0.58,105,0.65,0.62,0.35
49,青花瓷,Jay Chou,mandopop|folk|mandarin,calm,0.50,80,0.60,0.55,0.60
50,Shadow Stabbing,CAKE,alt rock|indie|rock,quirky,0.65,100,0.55,0.70,0.30
51,Wheels,CAKE,alt rock|indie|soft rock,chill,0.60,95,0.60,0.68,0.35
52,summertime,cinnamons; evening cinema,j-pop|lofi|japanese,chill,0.45,75,0.75,0.65,0.70
53,Fly-day Chinatown,Yasuha,city pop|j-pop|japanese,groovy,0.70,110,0.85,0.80,0.30
54,Stay With Me,1nonly,rap|hip-hop|rnb,moody,0.68,120,0.50,0.78,0.20
55,Stateside,PinkPantheress; Zara Larsson,pop|rnb|indie pop,chill,0.62,110,0.75,0.80,0.25
56,Just Dance,Lady Gaga; Colby O'Donis,pop|electronic|edm,dance,0.90,119,0.90,0.92,0.05
57,The One That Got Away,Katy Perry,pop|indie pop|soft rock,sad,0.70,134,0.50,0.70,0.20
58,Si No Le Contesto,Plan B,reggaeton|latin pop|spanish,romantic,0.78,95,0.85,0.88,0.10
59,Bad Romance,Lady Gaga,pop|electronic|edm,dark,0.88,119,0.65,0.90,0.05
60,Royals,Lorde,pop|indie pop|alt pop,minimal,0.50,85,0.45,0.65,0.40
61,Like That,Doja Cat; Gucci Mane,rap|hip-hop|pop rap,confident,0.80,107,0.75,0.85,0.12
62,Born To Die,Lana Del Rey,alt pop|indie pop|pop,melancholic,0.55,90,0.40,0.60,0.45
63,Tropical,SL,uk drill|hip-hop|rap,dark,0.70,140,0.35,0.78,0.10
64,Undercover Martyn,Two Door Cinema Club,indie rock|rock|indie,energetic,0.85,160,0.75,0.78,0.15
65,Rich In Love,SUPER-Hi; ILIRA,pop|electronic|indie pop,happy,0.78,118,0.88,0.85,0.12
66,Following the Sun,SUPER-Hi; NEEKA,pop|electronic|indie pop,bright,0.80,120,0.90,0.86,0.10
67,Snow on The Bluff,Evening Elephants,indie|folk|soft rock,chill,0.40,70,0.60,0.60,0.80
68,ブルーバード,Ikimonogakari,j-pop|rock|japanese,energetic,0.85,152,0.88,0.82,0.15
69,怪物,YOASOBI,j-pop|rock|japanese,intense,0.90,170,0.60,0.78,0.10
70,光るなら,Goose house,j-pop|pop|japanese,uplifting,0.82,165,0.85,0.80,0.20
71,3 Nights,Dominic Fike,alt pop|indie|pop,chill,0.65,120,0.80,0.78,0.25
72,Why,Dominic Fike,alt pop|indie|folk,reflective,0.60,110,0.60,0.72,0.30
73,How Much Is Weed?,Dominic Fike,alt pop|indie|pop rap,playful,0.62,115,0.70,0.75,0.28
74,Thinkin' Bout Me,Morgan Wallen,country|soft rock|folk,moody,0.58,100,0.55,0.65,0.40
75,Colgando en tus manos,Carlos Baute; Marta Sánchez,latin pop|pop|spanish,romantic,0.65,90,0.85,0.75,0.35
76,Pareja Del Año,Sebastian Yatra; Myke Towers,latin pop|reggaeton|spanish,happy,0.78,100,0.90,0.88,0.20
77,Rosas,La Oreja de Van Gogh,spanish pop|pop|spanish,nostalgic,0.70,130,0.75,0.72,0.30
78,是你,梦然,mandopop|pop|mandarin,emotional,0.55,95,0.65,0.60,0.45
79,踏山河,Silk Ye,mandarin folk|folk|mandarin,epic,0.80,140,0.70,0.68,0.25
80,El Sol No Regresa,La Quinta Estacion,latin pop|pop|spanish,sad,0.72,130,0.60,0.75,0.20
81,El Presente,Julieta Venegas,latin pop|pop|spanish,bittersweet,0.65,100,0.70,0.72,0.35
82,Skyfall,Adele,pop|soul|r&b,dramatic,0.75,76,0.40,0.55,0.50
83,Dani California,Red Hot Chili Peppers,rock|alt rock|indie rock,energetic,0.88,96,0.70,0.70,0.15
84,SUBEME LA RADIO,Enrique Iglesias; Zion & Lennox,reggaeton|latin pop|spanish,party,0.85,91,0.92,0.90,0.08
85,月亮代表我的心,Teresa Teng,mandopop|pop|mandarin,romantic,0.35,70,0.85,0.50,0.85
86,甜蜜蜜,Teresa Teng,mandopop|pop|mandarin,sweet,0.45,95,0.90,0.65,0.70
87,Cauldron of Thorns,Twin Tribes,darkwave|electronic|indie,dark,0.70,120,0.30,0.65,0.20
88,Fire Burns Inside Me,Andrea Vanzo,neo-classical|ambient|folk,emotional,0.40,75,0.55,0.40,0.90
89,Have You Ever Seen The Rain,Creedence Clearwater Revival,rock|folk|soft rock,nostalgic,0.60,117,0.75,0.65,0.35
